Purpose,Period,AccessMode,SegID,Direction,IB_OB,Mode,Name,LongName,Distance,Time,Speed,Headway,Riders,FromSkim_LCL,FromSkim_COR,FromSkim_BRT,FromSkim_EXP,FromSkim_LRT,FromSkim_CRT
All,ok,drive,2290_004.6,EB,IB,      4.00,1300So,1300 South,      1.17,      4.39,  16.0,     15.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2290_005.7,EB,IB,      4.00,1300So,1300 South,      0.64,      2.76,  13.9,     15.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2290_006.4,EB,IB,      4.00,1300So,1300 South,      0.20,      0.85,  14.1,     15.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2290_006.6,EB,IB,      4.00,1300So,1300 South,      0.31,      1.41,  13.2,     15.00,      0.20,      0.20,         0,         0,         0,         0,         0
All,ok,drive,2290_006.9,WB,IB,      4.00,1300So,1300 South,      0.22,      1.03,  12.8,     15.00,      0.20,      0.20,         0,         0,         0,         0,         0
All,ok,drive,2290_007.1,WB,IB,      4.00,1300So,1300 South,      0.16,      0.96,  10.0,     15.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2290_007.2,WB,IB,      4.00,1300So,1300 South,      0.30,      1.43,  12.6,     15.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2290_007.5,WB,IB,      4.00,1300So,1300 South,      0.30,      1.38,  13.0,     15.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2290_007.8,WB,IB,      4.00,1300So,1300 South,      0.29,      1.36,  12.8,     15.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2290_008.1,WB,IB,      4.00,1300So,1300 South,      0.31,      1.48,  12.6,     15.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2290_008.4,WB,IB,      4.00,1300So,1300 South,      0.30,      1.11,  16.2,     15.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2290_008.7,WB,IB,      4.00,1300So,1300 South,      0.30,      1.08,  16.7,     15.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2290_009.0,WB,IB,      4.00,1300So,1300 South,      0.31,      1.10,  16.9,     15.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2290_009.3,WB,IB,      4.00,1300So,1300 South,      0.60,      2.31,  15.6,     15.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2290_009.9,WB,IB,      4.00,1300So,1300 South,      0.31,      1.38,  13.5,     15.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2290_004.6,WB,OB,      4.00,1300So,1300 South,      1.17,      4.30,  16.3,     15.00,      0.20,      0.20,         0,         0,         0,         0,         0
All,ok,drive,2290_005.7,WB,OB,      4.00,1300So,1300 South,      0.64,      2.37,  16.2,     15.00,      0.20,      0.20,         0,         0,         0,         0,         0
All,ok,drive,2290_006.4,WB,OB,      4.00,1300So,1300 South,      0.20,      1.19,  10.1,     15.00,      0.20,      0.20,         0,         0,         0,         0,         0
All,ok,drive,2290_006.6,WB,OB,      4.00,1300So,1300 South,      0.31,      1.49,  12.5,     15.00,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,2290_006.9,EB,OB,      4.00,1300So,1300 South,      0.08,      0.37,  13.0,     15.00,      0.60,      0.60,         0,         0,         0,         0,         0
All,ok,drive,2290_007.1,EB,OB,      4.00,1300So,1300 South,      0.16,      0.94,  10.2,     15.00,      0.60,      0.60,         0,         0,         0,         0,         0
All,ok,drive,2290_007.2,EB,OB,      4.00,1300So,1300 South,      0.30,      1.39,  12.9,     15.00,      0.60,      0.60,         0,         0,         0,         0,         0
All,ok,drive,2290_007.5,EB,OB,      4.00,1300So,1300 South,      0.30,      1.38,  13.0,     15.00,      0.60,      0.60,         0,         0,         0,         0,         0
All,ok,drive,2290_007.8,EB,OB,      4.00,1300So,1300 South,      0.29,      1.34,  13.0,     15.00,      0.60,      0.60,         0,         0,         0,         0,         0
All,ok,drive,2290_008.1,EB,OB,      4.00,1300So,1300 South,      0.31,      1.46,  12.7,     15.00,      0.60,      0.60,         0,         0,         0,         0,         0
All,ok,drive,2290_008.4,EB,OB,      4.00,1300So,1300 South,      0.30,      1.09,  16.5,     15.00,      0.60,      0.60,         0,         0,         0,         0,         0
All,ok,drive,2290_008.7,EB,OB,      4.00,1300So,1300 South,      0.30,      1.07,  16.8,     15.00,      0.60,      0.60,         0,         0,         0,         0,         0
All,ok,drive,2290_009.0,EB,OB,      4.00,1300So,1300 South,      0.31,      1.10,  16.9,     15.00,      0.50,      0.50,         0,         0,         0,         0,         0
All,ok,drive,2290_009.3,EB,OB,      4.00,1300So,1300 South,      0.60,      2.30,  15.7,     15.00,      0.20,      0.20,         0,         0,         0,         0,         0
All,ok,drive,2290_009.9,EB,OB,      4.00,1300So,1300 South,      0.31,      1.38,  13.5,     15.00,      0.20,      0.20,         0,         0,         0,         0,         0
All,ok,drive,0089_365.5,NB,IB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      0.75,      2.74,  16.4,     15.00,      1.60,      1.60,         0,         0,         0,         0,         0
All,ok,drive,0151_000.0,EB,IB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      0.22,      0.74,  17.8,     15.00,      5.60,      5.40,         0,         0,         0,      0.20,         0
All,ok,drive,0151_000.3,EB,IB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      0.26,      0.86,  18.1,     15.00,      5.30,      5.20,         0,         0,         0,      0.10,         0
All,ok,drive,0151_000.5,EB,IB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      0.50,      1.63,  18.4,     15.00,      5.10,      5.00,         0,         0,         0,      0.10,         0
All,ok,drive,0151_001.0,EB,IB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      0.50,      1.65,  18.2,     15.00,      5.10,      5.00,         0,         0,         0,      0.10,         0
All,ok,drive,0151_001.5,EB,IB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      0.50,      2.25,  13.3,     15.00,      4.90,      4.80,         0,         0,         0,      0.10,         0
All,ok,drive,0151_002.0,EB,IB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      0.50,      2.28,  13.2,     15.00,      4.70,      4.60,         0,         0,         0,      0.10,         0
All,ok,drive,0151_002.5,EB,IB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      0.47,      1.75,  16.1,     15.00,      4.40,      4.30,         0,         0,         0,      0.10,         0
All,ok,drive,0151_003.0,EB,IB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      0.56,      2.06,  16.3,     15.00,      3.80,      3.80,         0,         0,         0,         0,         0
All,ok,drive,0151_003.5,EB,IB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      0.39,      1.56,  15.0,     15.00,      3.80,      3.80,         0,         0,         0,         0,         0
All,ok,drive,0209_014.0,WB,IB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      0.44,      1.61,  16.4,     15.00,      6.60,      6.10,      0.50,         0,         0,         0,         0
All,ok,drive,0209_014.5,WB,IB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      1.01,      2.83,  21.4,     15.00,      6.60,      6.10,      0.50,         0,         0,         0,         0
All,ok,drive,0209_015.5,WB,IB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      0.56,      1.47,  22.9,     15.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0209_016.0,WB,IB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      1.03,      2.73,  22.6,     15.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0209_017.1,WB,IB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      0.55,      1.29,  25.6,     15.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0209_017.6,WB,IB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      1.12,      2.90,  23.2,     15.00,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2071_002.1,EB,IB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      0.26,      0.95,  16.4,     15.00,      5.70,      5.30,         0,         0,         0,      0.40,         0
All,ok,drive,2071_002.8,EB,IB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      0.56,      2.09,  16.1,     15.00,      5.70,      5.30,         0,         0,         0,      0.40,         0
All,ok,drive,2071_003.3,EB,IB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      0.28,      0.79,  21.3,     15.00,      5.90,      5.50,         0,         0,         0,      0.40,         0
All,ok,drive,2071_003.6,EB,IB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      0.81,      2.29,  21.2,     15.00,      5.80,      5.50,         0,         0,         0,      0.30,         0
All,ok,drive,2071_004.4,EB,IB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      0.44,      1.32,  20.0,     15.00,      5.60,      5.40,         0,         0,         0,      0.20,         0
All,ok,drive,2080_003.9,EB,IB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      0.38,      1.45,  15.7,     15.00,      2.70,      2.70,         0,         0,         0,         0,         0
All,ok,drive,2080_004.2,WB,IB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      0.52,      1.85,  16.9,     15.00,      2.50,      2.00,      0.10,         0,         0,      0.40,         0
All,ok,drive,2080_004.6,NB,IB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      0.74,      2.60,  17.1,     15.00,      2.30,      2.00,         0,         0,         0,      0.30,         0
All,ok,drive,2093_002.4,NB,IB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      0.74,      3.24,  13.7,     15.00,      3.30,      3.30,         0,         0,         0,         0,         0
All,ok,drive,2098_000.4,WB,IB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      0.99,      3.66,  16.2,     15.00,      6.40,      6.00,      0.40,         0,         0,         0,         0
All,ok,drive,2098_001.4,NB,IB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      0.58,      2.12,  16.4,     15.00,      6.20,      5.70,      0.40,         0,         0,      0.10,         0
All,ok,drive,0089_365.5,SB,OB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      0.75,      2.85,  15.8,     15.00,      3.60,      3.60,         0,         0,         0,         0,         0
All,ok,drive,0151_000.0,WB,OB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      0.22,      0.74,  17.8,     15.00,      0.90,      0.80,      0.10,         0,         0,         0,         0
