Purpose,Period,AccessMode,SegID,Direction,IB_OB,Mode,Name,LongName,Distance,Time,Speed,Headway,Riders,FromSkim_LCL,FromSkim_COR,FromSkim_BRT,FromSkim_EXP,FromSkim_LRT,FromSkim_CRT
All,ok,drive,0006_158.5,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.25,      0.45,  33.3,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_159.6,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.23,      0.41,  33.7,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_159.8,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.44,      0.79,  33.4,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_160.3,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.18,      0.34,  31.8,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_173.4,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.50,      1.30,  23.1,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_173.7,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.54,      1.34,  24.2,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_244.8,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      1.62,      2.53,  38.4,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_246.9,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      1.40,      2.19,  38.4,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_248.8,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      1.54,      2.30,  40.2,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_250.3,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.13,      0.20,  39.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_250.9,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.19,      0.29,  39.3,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_251.6,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.62,      0.96,  38.8,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_252.5,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      1.03,      1.65,  37.5,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_253.6,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      1.32,      2.05,  38.6,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_255.9,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.82,      1.31,  37.6,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_257.3,WB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.47,      0.94,  30.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_257.6,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.60,      0.96,  37.5,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_258.8,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.68,      1.12,  36.4,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_260.0,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      1.39,      2.43,  34.3,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_261.8,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.65,      1.23,  31.7,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_263.4,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.17,      0.26,  39.2,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_264.2,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.70,      1.05,  40.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_265.6,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.29,      0.50,  34.8,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_266.5,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      1.56,      2.63,  35.6,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0015_267.9,SB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.51,      0.75,  40.8,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0178_000.0,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.32,      0.93,  20.6,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0189_000.0,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.15,      0.53,  17.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0189_000.2,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.88,      3.38,  15.6,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0189_000.6,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.98,      3.74,  15.7,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0265_000.4,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.11,      0.47,  14.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2832_000.7,WB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.08,      0.26,  18.5,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2837_000.7,NB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.36,      1.28,  16.9,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2980_000.0,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.09,      0.30,  18.0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,3014_001.4,EB,IB,      4.00,M805_Santaquin,M805_Santaquin,      0.20,      0.70,  17.1,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_158.5,WB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.25,      0.45,  33.3,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_159.6,WB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.23,      0.41,  33.7,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_159.8,WB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.44,      0.79,  33.4,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0006_160.3,WB,OB,      4.00,M805_Santaquin,M805_Santaquin,      0.18,      0.34,  31.8,         0,         0,         0,         0,         0,         0,         0,         0
