Purpose,Period,AccessMode,SegID,LinkID,Direction,IB_OB,N,Mode,Name,LongName,Headway,Board,Board_FromSkim_LCL,Board_FromSkim_COR,Board_FromSkim_BRT,Board_FromSkim_EXP,Board_FromSkim_LRT,Board_FromSkim_CRT,Alight,Alight_FromSkim_LCL,Alight_FromSkim_COR,Alight_FromSkim_BRT,Alight_FromSkim_EXP,Alight_FromSkim_LRT,Alight_FromSkim_CRT
All,ok,drive,,60252_60258,WB,IB,  60252.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,      0.05,      0.05,         0,         0,         0,         0,         0,      4.66,      2.48,         0,      0.06,         0,         0,      2.12
All,ok,drive,0178_000.0,65403_65402,EB,IB,  65403.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,      3.08,      3.08,         0,         0,         0,         0,         0,      0.21,      0.21,         0,         0,         0,         0,         0
All,ok,drive,0198_005.9,65506_65505,EB,IB,  65506.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,0198_006.3,65507_65513,EB,IB,  65507.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.05,      0.05,         0,         0,         0,         0,         0
All,ok,drive,0198_005.4,65508_65506,EB,IB,  65508.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,0198_005.4,65509_65508,EB,IB,  65509.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,0198_006.3,65524_65531,EB,IB,  65524.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.12,      0.12,         0,         0,         0,         0,         0
All,ok,drive,0198_006.3,65531_65539,EB,IB,  65531.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.11,      0.11,         0,         0,         0,         0,         0
All,ok,drive,0198_007.6,65566_65580,EB,IB,  65566.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.03,      0.03,         0,         0,         0,         0,         0
All,ok,drive,0198_008.7,65624_65627,EB,IB,  65624.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.08,      0.08,         0,         0,         0,         0,         0
All,ok,drive,0198_009.1,65645_65672,NB,IB,  65645.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,0198_009.5,65672_65687,NB,IB,  65672.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.14,      0.14,         0,         0,         0,         0,         0
All,ok,drive,0198_009.9,65695_71302,NB,IB,  65695.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,0198_011.81,65983_66043,NB,IB,  65983.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,0198_011.81,66043_66061,NB,IB,  66043.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.09,      0.09,         0,         0,         0,         0,         0
All,ok,drive,0156_000.0,66061_66102,NB,IB,  66061.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.09,      0.09,         0,         0,         0,         0,         0
All,ok,drive,3062_000.3,66109_66110,WB,IB,  66109.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,         0,         0,         0,         0,         0,      0.01
All,ok,drive,3062_000.0,66111_66112,WB,IB,  66111.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.24,      0.05,         0,      0.01,         0,         0,      0.18
All,ok,drive,2837_000.4,66133_66142,NB,IB,  66133.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,2837_000.7,66192_66206,NB,IB,  66192.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,     15.72,     15.72,         0,         0,         0,         0,         0,      0.05,      0.05,         0,         0,         0,         0,         0
All,ok,drive,0006_173.4,66253_63169,NB,IB,  66253.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.14,      0.14,         0,         0,         0,         0,         0
All,ok,drive,0189_000.6,66790_71488,NB,IB,  66790.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      1.90,      1.90,         0,         0,         0,         0,         0
All,ok,drive,,66841_50024,NB,IB,  50024.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,     12.33,     12.33,         0,         0,         0,         0,         0
All,ok,drive,0198_005.3,71090_65509,EB,IB,  71090.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,,50024_66841,SB,OB,  50024.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,      5.78,      1.34,         0,      0.16,         0,         0,      4.28,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0178_001.0,65398_65399,WB,OB,  65398.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.04,      0.04,         0,         0,         0,         0,         0
